,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,sentiment
18,2020-01-29,108.28,108.42,107.52,107.55,6433516.0,PG,18,0.36190507883023315,109.43156778534785,104.02422168833635,61.44719422524041,60.26732539953858,5.634515959598874,106.7278947368421,106.7278947368421,0.0
18,2020-01-29,38.38,39.32,37.83,38.73,276030540.0,TSLA,18,1.0289546233837257,40.77032602641356,28.07283186832329,78.12975137288514,107.87526548815258,58.49218190972667,34.421578947368424,34.421578947368424,0.0
18,2020-01-29,195.39,196.94,193.68,195.93,8400111.0,V,18,1.7660255011245738,202.65163477623383,176.9304704869241,70.84636027699699,69.6178686181588,31.400016247359957,189.79105263157896,189.79105263157896,0.0
18,2020-01-29,35.63,35.8,35.42,35.42,12828084.0,WMT,18,-0.04660044395915719,36.200134498518324,34.888286554113265,41.620182960572286,3.533240353324592,43.3987107003671,35.544210526315794,35.544210526315794,0.0
18,2020-01-29,48.87,48.94,47.75,48.18,15738244.0,XOM,18,-0.6597773046871964,54.49328873359373,48.12776389798522,14.271060105986862,-159.4132205243318,94.79663574155872,51.310526315789474,51.310526315789474,0.0
19,2020-01-30,77.27,78.13,76.84,78.08,132959224.0,AAPL,19,0.5868692682919772,79.26128076533375,71.18771923466626,66.64647804346448,100.94229431604872,24.04652650140231,75.2245,75.2245,0.0
19,2020-01-30,64.73,64.89,63.63,64.1,11773079.0,ABBV,19,-0.7621691273984084,71.62223001755423,64.44176998244576,25.175041719248014,-189.7743237427022,67.8256035519738,68.032,68.032,0.0
19,2020-01-30,46.49,48.81,46.13,48.78,72096603.0,AMD,19,0.044822820800909824,51.83860042681903,46.77389957318097,48.13307729624816,-79.29542038356087,20.785475135170365,49.30625,49.30625,0.0
19,2020-01-30,92.9,93.64,92.53,93.53,129248740.0,AMZN,19,-0.2590671417498527,95.87615685279604,91.92484314720394,46.20571364243427,-58.483865987338305,19.589316111103027,93.9005,93.9005,0.0
19,2020-01-30,26.99,27.09,26.5,27.06,23564030.0,AVGO,19,0.11930314519407403,27.90926943975748,25.582730560242517,48.419353913298885,17.768327406484698,0.5731774232195747,26.746,26.746,0.0
19,2020-01-30,28.06,28.77,28.04,28.73,53061226.0,BAC,19,-0.2640017616573118,30.87640472725313,28.173595272746866,33.81352658823654,-122.1166341780377,51.19091234442583,29.525,29.525,0.0
19,2020-01-30,119.54,120.61,117.89,120.08,4109694.0,CAT,19,-1.6668961522805716,135.35490214560946,119.53409785439054,22.649027158233622,-168.84496865370284,66.72476187996182,127.44449999999999,127.44449999999999,0.0
19,2020-01-30,282.19,282.92,280.2,282.77,1378358.0,COST,19,2.1458762826544557,291.0229665168632,262.11803348313674,72.9025247698339,60.95691816324564,18.95364858509496,276.5705,276.5705,0.0
19,2020-01-30,38.69,39.3,38.46,39.27,16471852.0,CSCO,19,-0.06373877287647645,41.10082843245712,38.74417156754288,40.782951748150424,-117.74080866299913,34.75929706203998,39.9225,39.9225,0.0
19,2020-01-30,83.19,84.54,82.63,84.4,9071293.0,CVX,19,-0.9633998040321501,92.8512392683098,82.1417607316902,21.24036457689668,-109.3480680396733,68.73079608304651,87.4965,87.4965,0.0
19,2020-01-30,62.11,62.59,60.23,61.34,12256144.0,GE,19,0.3776381363507184,61.055476477995704,53.920523522004295,61.51878732404044,238.0467955239058,40.1589276450261,57.488,57.488,0.0
19,2020-01-30,71.41,72.27,71.23,72.2,29682520.0,GOOG,19,0.3524905522474455,74.98958221218437,67.51141778781563,65.52939581864004,33.34402761336808,18.338491899015086,71.2505,71.2505,0.0
19,2020-01-30,71.31,72.16,71.16,72.11,29373720.0,GOOGL,19,0.331498377220214,74.8477265102987,67.60227348970129,64.73005984465799,31.350399597543703,17.989979685694813,71.225,71.225,0.0
19,2020-01-30,199.16,200.3,198.82,199.87,5054643.0,HD,19,1.5738908969055103,204.91558180391016,185.15241819608983,71.2429114321225,70.65016154209171,35.477004777602325,195.034,195.034,0.0
19,2020-01-30,126.07,126.46,125.23,126.33,7506497.0,JNJ,19,0.6267880668779924,127.20818599607823,120.21181400392176,71.6873849841365,108.67402119835543,7.310395069698172,123.71,123.71,0.0
19,2020-01-30,112.61,115.53,112.61,115.32,10352609.0,JPM,19,-0.4662917125678234,119.18512495877728,112.58187504122272,43.200803957003906,-74.54479023582631,33.16563724437223,115.8835,115.8835,0.0
19,2020-01-30,47.87,48.74,47.73,48.64,22209361.0,KO,19,0.35102191593072973,48.750916946752056,44.39108305324794,77.91862312702995,135.50375579056123,47.457455109200616,46.571,46.571,0.0
19,2020-01-30,128.35,133.5,128.28,132.52,5650786.0,LLY,19,0.7231509098402,134.965731719532,121.49526828046804,72.83855457863041,79.04106930457063,42.382341554937526,128.2305,128.2305,0.0
19,2020-01-30,308.08,313.97,307.5,313.73,3746796.0,MA,19,2.253117487813313,321.33545939917695,286.75654060082303,67.1372401910443,74.03620206151679,24.130884960210324,304.046,304.046,0.0
19,2020-01-30,204.94,209.8,203.17,207.91,50512401.0,META,19,-0.11350491330131263,224.8215190531312,206.58648094686882,44.807229568572836,-138.46916026752496,25.704867175315695,215.704,215.704,0.0
19,2020-01-30,164.87,164.87,161.78,163.67,55966784.0,MSFT,19,1.1824799761061797,162.13686115247665,147.97113884752335,69.61660227838806,198.0597422677419,45.28117549997583,155.054,155.054,0.0
19,2020-01-30,52.84,53.7,51.9,53.66,32063122.0,MU,19,-0.17766850707098314,58.53303753515911,52.34196246484089,46.06938211659856,-122.26722067357417,13.423311942713049,55.4375,55.4375,0.0
19,2020-01-30,34.11,34.82,33.92,34.77,56342340.0,NFLX,19,0.21641879844035117,35.38968268819901,32.31631731180098,57.6318448679643,86.18912380351424,11.521363125453997,33.852999999999994,33.852999999999994,0.0
19,2020-01-30,6.013,6.131,5.958,6.118,304501200.0,NVDA,19,0.011777629726545946,6.349581475721994,5.856818524278006,53.43720505687771,-15.746681192753314,1.8139344464769478,6.1032,6.1032,0.0
19,2020-01-30,48.52,48.98,48.03,48.97,7868449.0,ORCL,19,-0.17477617138354873,51.191795542806915,48.413204457193075,44.11195791590554,-120.76593762874559,36.381753213007535,49.802499999999995,49.802499999999995,0.0
19,2020-01-30,107.31,108.41,107.0,108.31,6756328.0,PG,19,0.37807944703156693,109.53201936255795,104.08198063744203,65.7990976487678,61.73501547608945,15.160490583651287,106.80699999999999,106.80699999999999,0.0
